Map,Expa/M,Expa/P,Expl/M,Expl/P,Moves,Count,Optimal,Ratio
01,7428,87,21721,255,326,86,198,164\%
02,10365,87,29863,253,446,119,202,220\%
03,9473,106,27739,311,358,90,208,172\%
04,7651,88,22077,256,382,87,198,192\%
05,10403,95,30078,275,428,110,200,214\%
06,9696,88,27686,251,422,111,198,213\%
07,6110,88,17807,258,306,70,198,154\%
08,10777,99,31190,288,436,109,206,211\%
09,9700,88,28115,257,444,110,196,226\%
10,5625,82,16486,242,284,69,198,143\%
11,7237,82,20935,237,296,89,198,149\%
12,8449,80,24298,231,416,106,198,210\%
13,10040,92,29327,269,346,110,198,174\%
14,7987,91,23462,269,332,88,196,169\%
15,14831,125,43415,367,408,119,196,208\%
16,6837,92,20019,270,328,75,198,165\%
17,7814,91,22958,270,322,86,198,162\%
18,6131,77,17708,224,330,80,196,168\%
19,7372,85,21415,249,352,87,196,179\%
20,7469,95,21930,281,310,79,198,156\%
21,7008,94,20625,278,290,75,196,147\%
22,9994,98,29125,288,382,102,196,194\%
23,7040,69,20228,198,406,103,198,205\%
24,7169,96,21094,285,312,75,198,157\%
25,10980,87,31075,246,518,127,198,261\%
26,10153,98,29589,287,412,104,202,203\%
27,7490,92,21878,270,322,82,196,164\%
28,8104,88,23783,258,322,93,200,161\%
29,8601,87,25110,256,354,99,196,180\%
30,8185,87,24004,255,342,95,196,174\%
31,10662,92,31062,270,444,116,196,226\%
32,9264,98,27159,288,362,95,202,179\%
33,12763,100,36428,286,466,128,198,235\%
34,6546,99,19223,291,290,67,196,147\%
35,8689,91,25121,264,344,96,202,170\%
36,8906,104,26043,306,352,86,200,176\%
37,9882,87,27282,241,458,114,196,233\%
38,8373,85,24075,245,402,99,200,201\%
39,9705,105,28509,309,346,93,202,171\%
40,8327,106,24549,314,310,79,204,151\%
41,7984,85,23351,251,352,94,196,179\%
42,10919,116,32108,341,320,95,200,160\%
43,7224,92,21252,272,290,79,196,147\%
44,8017,79,23046,228,394,102,198,198\%
45,8097,80,23130,231,380,101,198,191\%
46,11704,96,34100,281,396,122,200,198\%
47,9294,83,26653,240,416,112,198,210\%
48,7766,82,22640,240,360,95,204,176\%
49,8793,87,25670,254,370,102,196,188\%
50,8426,85,24542,250,366,99,198,184\%
