Map,Expa/M,Expa/P,Expl/M,Expl/P,Moves,Count,Optimal,Ratio
01,134906,1260,270094,2524,394,108,198,198\%
02,135787,1385,275869,2814,338,99,202,167\%
03,200046,1818,400515,3641,404,111,208,194\%
04,40174,441,84564,929,302,92,198,152\%
05,184030,1437,364682,2849,452,129,200,226\%
06,122975,1366,247853,2753,338,91,198,170\%
07,80545,767,160536,1528,402,106,198,203\%
08,411531,2236,810202,4403,690,185,206,334\%
09,103712,886,206155,1762,476,118,196,242\%
10,38155,393,80253,827,362,98,198,182\%
11,136259,1285,271111,2557,416,107,198,210\%
12,53781,672,111394,1392,296,81,198,149\%
13,237452,1562,460195,3027,654,153,198,330\%
14,204787,1750,406341,3473,444,118,196,226\%
15,72982,1027,147807,2081,320,72,196,163\%
16,176802,1155,349723,2285,552,154,198,278\%
17,121503,1278,247019,2600,314,96,198,158\%
18,62020,747,125790,1515,338,84,196,172\%
19,107999,1421,218249,2871,316,77,196,161\%
20,180443,1409,360588,2817,482,129,198,243\%
21,90132,804,179443,1602,410,113,196,209\%
22,135365,1410,271375,2826,374,97,196,190\%
23,144744,964,278297,1855,578,151,198,291\%
24,135593,1102,269679,2192,488,124,198,246\%
25,78912,710,157808,1421,420,112,198,212\%
26,254975,2628,509428,5251,384,98,202,190\%
27,42123,569,86567,1169,324,75,196,165\%
28,124467,1072,244979,2111,488,117,200,244\%
29,58542,760,118093,1533,336,78,196,171\%
30,130137,1606,259602,3204,364,82,196,185\%
31,136634,1485,269412,2928,368,93,196,187\%
32,104565,1015,213367,2071,342,104,202,169\%
33,85245,1469,173786,2996,248,59,198,125\%
34,133248,1200,266490,2400,424,112,196,216\%
35,173719,1867,350207,3765,388,94,202,192\%
36,170068,1868,343798,3778,316,92,200,158\%
37,118598,972,237036,1942,434,123,196,221\%
38,146021,1872,292571,3750,308,79,200,154\%
39,222513,1986,441990,3946,428,113,202,211\%
40,213087,1805,423234,3586,426,119,204,208\%
41,101709,1255,206998,2555,296,82,196,151\%
42,142643,1333,285098,2664,414,108,200,207\%
43,124403,1704,251151,3440,318,74,196,162\%
44,62355,820,126476,1664,320,77,198,161\%
45,91722,1007,187141,2056,310,92,198,156\%
46,94290,1047,191813,2131,304,91,200,152\%
47,135220,1365,269816,2725,392,100,198,197\%
48,245313,1817,491518,3640,424,136,204,207\%
49,105437,1285,214535,2616,308,83,196,157\%
50,44481,535,91890,1107,320,84,198,161\%
