Maze,Expa/M,Expa/P,Expl/M,Expl/P,Moves,Count,Optimal,Ratio
01,113162,120,312238,333,2812,937,872,322%
02,261787,168,580154,373,4924,1554,1608,306%
03,234329,198,457259,387,3968,1180,932,425%
04,110743,121,284572,313,2678,909,1280,209%
05,28712,85,78835,235,676,336,676,100%
06,46137,99,128970,276,972,467,836,116%
07,79847,99,197909,247,1528,800,1528,100%
08,101044,121,254925,307,3020,830,656,460%
09,189733,220,410538,477,2464,860,1264,194%
10,314339,243,552230,427,4492,1292,1284,349%
11,98389,133,264182,358,2292,737,1184,193%
12,115882,156,281395,379,2268,743,1172,193%
13,188766,189,387569,389,3488,997,804,433%
14,53954,99,142863,264,1112,542,952,116%
15,170156,122,434035,311,4740,1394,1168,405%
16,113123,145,294392,378,2132,779,888,240%
17,61174,109,162781,292,1580,558,980,161%
18,150685,150,359740,358,2832,1005,1160,244%
19,105854,126,271584,324,2876,838,1020,281%
20,268251,151,618040,349,7084,1770,732,967%
21,132127,135,347725,357,3078,973,1040,295%
22,365597,204,758615,424,6184,1788,1320,468%
23,108928,118,289651,316,1716,917,1660,103%
24,170866,135,447369,354,4492,1264,772,581%
25,16987,89,49198,258,436,191,412,105%
26,91726,103,237607,268,1716,887,1716,100%
27,58865,104,159896,284,1072,564,1072,100%
28,79056,138,202254,354,2020,572,816,247%
29,79756,116,204305,297,1748,688,976,179%
30,160135,144,375752,339,3824,1107,1052,363%
31,168598,160,371971,354,3824,1049,780,490%
32,340000,209,695160,428,5268,1623,2060,255%
33,169781,158,385602,360,2256,1072,1740,129%
34,77927,117,209634,315,1852,666,916,202%
35,65238,116,186760,334,1016,559,1008,100%
36,131240,126,331618,318,1868,1041,1860,100%
37,271774,226,573871,477,4296,1203,592,725%
38,221740,210,455669,432,3756,1055,1012,371%
39,246527,232,466120,440,3528,1060,1100,320%
40,137534,149,333373,361,3268,922,892,366%
41,267697,188,554892,389,5256,1424,700,750%
42,62614,116,176167,328,1116,538,1040,107%
43,210315,185,414978,366,4028,1133,904,445%
44,141534,165,352205,410,2776,858,948,292%
45,49383,98,137829,274,952,503,952,100%
46,95581,149,229496,359,1872,639,988,189%
47,108930,156,270586,388,2192,697,660,332%
48,129061,156,300302,363,2782,827,852,326%
49,365743,246,702717,474,4372,1482,1692,258%
50,91409,114,234515,294,1928,797,1396,138%
