Map,Expa/M,Expa/P,Expl/M,Expl/P,Moves,Count,Optimal,Ratio
01,193939,2731,210778,2968,308,72,198,155\%
02,241247,3133,260651,3385,324,78,202,160\%
03,290740,3303,313775,3565,340,89,208,163\%
04,261493,3076,282159,3319,364,86,198,183\%
05,265125,3535,285301,3804,260,76,200,130\%
06,269247,3496,289484,3759,310,78,198,156\%
07,294643,3202,317934,3455,340,93,198,171\%
08,381789,3601,410470,3872,414,107,206,200\%
09,233863,3118,252433,3365,318,76,196,162\%
10,157708,2160,172349,2360,282,74,198,142\%
11,329602,4336,353612,4652,322,77,198,162\%
12,329680,2536,358172,2755,454,131,198,229\%
13,269377,2960,291730,3205,308,92,198,155\%
14,305818,4023,330092,4343,332,77,196,169\%
15,323755,3205,350503,3470,386,102,196,196\%
16,311526,3943,335212,4243,284,80,198,143\%
17,293787,2937,317747,3177,340,101,198,171\%
18,203746,2546,221013,2762,332,81,196,169\%
19,263649,3337,285326,3611,296,80,196,151\%
20,248162,3141,268052,3393,324,80,198,163\%
21,300202,2943,325008,3186,336,103,196,171\%
22,299406,3402,323624,3677,370,89,196,188\%
23,212412,2441,230413,2648,340,88,198,171\%
24,254674,3690,274313,3975,248,70,198,125\%
25,287253,2762,310868,2989,364,105,198,183\%
26,247032,2839,268384,3084,348,88,202,172\%
27,186408,2662,202645,2894,276,71,196,140\%
28,261635,2400,284418,2609,390,110,200,195\%
29,248697,3552,268251,3832,298,71,196,152\%
30,234020,3250,253314,3518,286,73,196,145\%
31,357994,3729,387464,4036,368,97,196,187\%
32,225317,3086,244718,3352,284,74,202,140\%
33,330790,2876,359311,3124,426,116,198,215\%
34,245950,3616,264951,3896,278,69,196,141\%
35,268510,3274,289327,3528,316,83,202,156\%
36,292034,3281,316049,3551,340,90,200,170\%
37,213698,3339,230924,3608,274,65,196,139\%
38,310991,2853,336212,3084,402,110,200,201\%
39,294104,3770,316165,4053,260,79,202,128\%
40,353257,2993,383021,3245,416,119,204,203\%
41,251062,3138,271256,3390,290,81,196,147\%
42,229942,2947,248723,3188,306,79,200,153\%
43,188577,2449,205809,2672,340,78,196,173\%
44,320741,2741,346617,2962,440,118,198,222\%
45,237946,2087,259449,2275,408,115,198,206\%
46,238556,2981,258069,3225,320,81,200,160\%
47,237402,2498,257667,2712,378,96,198,190\%
48,189984,2288,207542,2500,318,84,204,155\%
49,169421,2144,184717,2338,346,80,196,176\%
50,250178,2579,271849,2802,382,98,198,192\%
